男,20-30歲,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,,"2019-03-03 14:22:46",517,140.115.236.39,,,,
女,20-30歲,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,"2019-03-04 11:50:39",37,140.115.236.39,,,,
男,20-30歲,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,"2019-03-04 12:01:12",42,111.250.210.193,,,,
女,20-30歲,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,,"2019-03-04 12:02:10",472,114.39.158.105,,,,
女,20-30歲,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,,"2019-03-04 12:02:16",58,123.205.144.139,,,,
女,20-30歲,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,,"2019-03-04 12:02:27",34,223.140.88.99,,,,
男,20-30歲,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,,"2019-03-04 12:03:05",45,114.137.130.2,,,,
女,20-30歲,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,,"2019-03-04 12:21:32",32,111.82.90.247,,,,
女,20-30歲,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,青菜,"2019-03-04 12:26:32",74,101.8.233.227,,,,
女,20-30歲,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,蔬菜,"2019-03-04 12:29:52",106,111.241.215.29,,,,
女,20-30歲,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,"2019-03-04 12:30:30",51,27.246.224.121,,,,
男,20-30歲,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,,"2019-03-04 12:31:52",3505,42.72.177.238,,,,
女,20-30歲,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,,"2019-03-04 12:32:27",36,111.185.154.242,,,,
女,20-30歲,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,,"2019-03-04 12:47:02",102,111.82.68.68,,,,
女,20-30歲,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,蔬菜,"2019-03-04 12:48:51",69,110.26.135.120,,,,
女,未滿20歲,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,"2019-03-04 12:49:45",54,1.162.253.104,,,,
女,20-30歲,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,,"2019-03-04 12:57:56",43,114.136.191.164,,,,
